gender,age,no_of_days_subscribed,multi_screen,mail_subscribed,weekly_mins_watched,minimum_daily_mins,weekly_max_night_mins,videos_watched,customer_support_calls,churn
0,-0.2646433294,-0.9466594113,0,0,-1.508784932,0.7222577461,-0.9444041772,-1.403000476,-0.4154730485,0
0,0.0296544308,1.235008958,0,0,0.3048214999,-0.901747777,-0.6885227851,-0.5991235449,0.347521849,0
0,2.580235019,0.658246056,0,0,-2.266626634,0.6139907113,-0.4838176714,-1.403000476,2.636506541,1
0,-1.44183437,0.7836292957,0,1,0.6381228873,-0.2521455677,0.07912139128,-0.1971850793,1.110516746,0
0,0.1277536842,2.288228171,0,0,-0.3338509909,0.253100595,-0.8932278988,1.008630317,-0.4154730485,0
1,-0.7551395964,-0.8714294675,0,0,-0.9464552168,0.9027028043,0.5397078971,0.6066918519,1.873511644,1
1,1.501143232,-1.021889355,0,0,-0.380401464,0.0004775136398,0.283826505,-0.1971850793,-1.178467946,0
0,0.1277536842,-1.247579186,0,0,-0.9092148384,-1.659617021,-0.6373465067,1.812507249,2.636506541,1
1,2.187838006,2.639301242,0,1,-0.07689237942,-0.8656587654,-1.865577189,0.2047533863,0.347521849,0
1,-0.7551395964,-0.9215827634,0,0,0.5822623196,0.7583467578,-2.172634859,-1.00106201,-1.178467946,0
1,-0.4608418362,0.3573262809,0,1,0.8541170825,-0.6491246956,-0.02323116558,1.812507249,1.873511644,0
1,-0.4608418362,0.1817897454,0,0,-0.8552162896,-1.046103823,-1.097933013,-0.5991235449,1.110516746,0
0,-0.8532388498,-0.3949731569,0,0,-1.948221398,0.7583467578,1.716762301,-1.403000476,-0.4154730485,0
0,-1.539933624,1.059472423,0,0,-0.6429461323,0.253100595,-0.2279362793,-1.403000476,-0.4154730485,0
0,-1.73613213,0.9340891832,0,0,0.5375738654,0.3252786183,1.512057187,0.2047533863,-1.178467946,0
1,-0.8532388498,0.006253209916,0,1,0.7219137389,0.6861687345,0.8467655677,-0.1971850793,-0.4154730485,0
1,0.5201506978,-0.3949731569,0,0,-0.380401464,-1.082192835,-0.9444041772,-0.1971850793,0.347521849,0
0,0.6182499512,-0.01882343801,0,0,0.3737162001,0.4335456531,-0.9444041772,-1.00106201,1.110516746,0
